,URN,Postcode,YEAR,Grades_scaled
677,137009,TW149PE,2016,-2.1315750514523715
680,139276,TW31NE,2016,0.7706582754683574
684,138266,TW134AB,2016,-0.8139611210303606
686,137907,W43UN,2016,0.5268706760070161
687,137928,TW76XF,2016,0.1495803435073213
689,135090,TW31JS,2016,0.31210540981488233
691,137618,TW137EF,2016,0.010273143815126387
692,139989,TW75BB,2016,-2.224446517913835
693,142126,TW149PE,2016,-0.28575465553078805
694,102539,TW45JD,2016,-0.7094807212612143
696,136341,TW34EP,2016,0.15538481016116282
698,137060,KT67LQ,2016,0.42239027623786995
699,102620,KT27LN,2016,-0.15805638914627582
701,137917,KT65AS,2016,0.5500885426223822
702,137299,KT35PE,2016,0.42239027623786995
704,142740,KT92HR,2016,-0.3554082553768853
705,136910,KT26RL,2016,0.027686543776651005
706,137678,KT64TU,2016,0.3643456096994554
707,102619,KT26PY,2016,-0.007140256146397822
708,137859,KT36NU,2016,0.24245180996878468
709,137848,KT33TU,2016,-2.137379518106213
710,136615,KT25PL,2016,0.6603734090453698
714,102599,KT92JS,2016,0.120558010238114
716,102684,SW194TT,2016,-0.08259832264633701
717,102692,SW194AB,2016,-1.2667095200299943
718,102674,SW200JL,2016,-2.1431839847600545
719,102679,SW209AD,2016,0.42239027623786995
720,140496,CR42QA,2016,-1.440843519645238
721,102683,SW208HA,2016,0.050904410392016756
722,102697,CR43BE,2016,0.1495803435073213
723,102694,KT36JJ,2016,-2.0619214516062736
726,138495,SM46DU,2016,0.3933679429686627
727,134003,CR41SF,2016,0.49784834273780876
728,102673,SW197HB,2016,0.10314461027658979
730,102681,SW194NS,2016,-2.178010784683103
734,102778,E139AE,2016,0.027686543776651005
736,131929,E163HS,2016,-2.0793348515677983
737,139703,E201BD,2016,0.12636247689195554
739,102793,E139HN,2016,-0.3147769887999953
741,132058,E65JG,2016,-2.3173179843752982
742,102787,E79QD,2016,1.0492726748527472
744,102777,E164DD,2016,0.6893957423145771
745,140373,E62PS,2016,-0.1116206559155443
747,102776,E126JB,2016,-0.24512338895389768
748,102782,E61DG,2016,0.8635297419298208
750,134627,E79NB,2016,0.4688260094686015
752,102784,E164NP,2016,0.17860267677652858
753,138196,E154RZ,2016,0.4456081428532357
754,134417,E79HL,2016,0.474630476122443
755,136978,E79PR,2016,-2.1257705847985298
756,102785,E154LP,2016,0.5733064092377479
757,136669,E63SQ,2016,1.0899039414296376
759,102783,E138SJ,2016,1.7109818733906736
760,102786,E78HU,2016,-0.4831065217613975
761,102873,IG14RS,2016,-2.1431839847600545
762,102851,E112JZ,2016,0.010273143815126387
764,102850,IG62JB,2016,0.19021161008421167
765,102854,IG87DQ,2016,0.4688260094686015
766,102875,IG80RF,2016,0.1495803435073213
767,102849,IG50QW,2016,0.5965242758531137
768,102857,IG26HX,2016,0.5036528093916502
769,137088,IG38EU,2016,0.11475354358427287
770,102858,RM81XE,2016,-0.45408418849219023
771,137692,IG63TN,2016,-2.3173179843752982
773,102856,IG27BT,2016,0.7938761420837231
775,133405,IG27PQ,2016,2.041836472659637
776,102878,RM65RX,2016,-0.6688494546843241
778,102852,IG89LA,2016,0.14377587685348017
779,140475,IG12UT,2016,0.6139376758146379
780,137418,IG14JU,2016,0.27147414323799196
782,102861,IG63HB,2016,0.3527366763917723
783,140575,IG45LP,2016,0.021882077122809467
784,136267,RM64RS,2016,-1.2609050533761528
786,137018,TW14QG,2016,0.10894907693043134
787,138825,TW107HN,2016,-0.3147769887999953
788,102952,TW123DH,2016,0.6487644757376867
789,102929,TW106HW,2016,-0.07098938933865394
791,102950,SW139QN,2016,0.3817590096609796
793,138461,TW25LH,2016,0.25406074327646777
794,102947,WC2E9DA,2016,-0.21610105568469037
796,138460,TW119PJ,2016,-2.1605973847215787
799,136104,TW26JW,2016,0.34112774308408966
800,102946,TW123HD,2016,0.056708877045858294
802,136103,TW123HB,2016,-0.007140256146397822
804,102936,TW14QJ,2016,-0.25673232226158077
805,102942,SW139JT,2016,-2.212837584606152
807,138651,TW13BB,2016,-0.23931892230005614
808,133443,KT89BS,2016,-0.007140256146397822
809,102932,TW123HF,2016,-2.178010784683103
810,136795,SM38AB,2016,-2.259273317836884
811,136787,SM14AS,2016,0.3063009431610408
812,136800,SM13DY,2016,0.3933679429686627
813,136798,SM67PH,2016,0.10894907693043134
814,136789,SM60PH,2016,0.23084287666110204
815,136756,SM26TQ,2016,-2.241859917875359
816,134887,SM54AZ,2016,-2.189619717990786
818,135801,SM25SJ,2016,1.107317341391162
819,137507,SM51LW,2016,-1.823938318798774
821,136799,SM51RW,2016,0.8345074086606136
822,136914,SM39PS,2016,-1.620781985914323
823,103013,SM53PS,2016,0.016077610468967926
826,103009,CR83YP,2016,-0.32058145545383643
827,136797,SM52QX,2016,-2.0909437848754813
828,103022,SM12AX,2016,0.5384796093146991
829,103003,SM54NS,2016,1.1247307413526864
830,136785,SM38PW,2016,-1.0693576537993845
831,136621,SM69JW,2016,-0.7501119878381044
832,103106,E173EA,2016,-0.34960378872304376
833,139293,E114AB,2016,-2.1315750514523715
834,103096,E105DN,2016,-0.21610105568469037
835,132727,E175DP,2016,0.7474404088529917
837,103100,E176ND,2016,0.23664734331494316
838,103112,E47BA,2016,-0.2973635888384707
839,103080,E113NT,2016,-0.09420725595401969
840,137558,E49PJ,2016,-0.018749189454080904
841,103094,E174EY,2016,0.35854114304561385
842,103105,E178DN,2016,0.21923394335341895
843,138691,E47LT,2016,1.2582334743910397
844,143385,E106JZ,2016,0.2250384100072605
846,138859,E48SG,2016,0.4165858095840284
848,132848,E106QT,2016,-0.11742512256938543
852,103101,E111JD,2016,0.2134294766995774
853,131697,E106DB,2016,1.333691540890979
855,103097,E46ES,2016,0.5965242758531137
856,103110,E173PY,2016,0.3353232764302481
857,133287,E107LX,2016,-0.012944722800239363
859,143418,B65NU,2016,-1.899396385298713
860,138937,B202HL,2016,0.9331833417759181
861,138059,B83HG,2016,0.16118927681500436
862,136882,B64PZ,2016,0.4281947428917115
863,103537,B235XA,2016,-0.18127425576164155
864,136213,B153JL,2016,-0.04777152272328819
865,137043,B66DJ,2016,0.2598652099303093
866,136406,B277QG,2016,0.08573121031506559
867,140014,B112QG,2016,0.7822672087760405
868,103531,B169SL,2016,-2.178010784683103
869,103613,B296HZ,2016,-1.899396385298713
871,103518,B339UF,2016,-0.012944722800239363
874,103592,B113EY,2016,0.8867476085451865
876,103584,B152UA,2016,-0.059380456030970856
877,137858,B280AA,2016,0.1495803435073213
878,137819,B67SS,2016,-2.154792918067737
879,136592,B178QB,2016,0.6545689423915283
880,138222,B74AG,2016,-2.259273317836884
881,138971,B347RD,2016,-0.001335789492556282
882,103562,B301DY,2016,0.5384796093146991
883,103522,B757DY,2016,0.7300270088914671
885,134034,B113DW,2016,-1.1970559201838966
886,134908,B57UH,2016,-0.04777152272328819
889,136590,B301HW,2016,1.5948925403138445
890,103499,B314BP,2016,0.625546609122321
892,141318,B301SH,2016,0.3527366763917723
893,139746,B201HL,2016,0.4398036761993942
895,136908,B757JT,2016,0.5268706760070161
896,136037,B114RU,2016,0.48623940943012606
