,URN,Absence,YEAR,Postcode
3462,144278,7.2,2017,WV108BY
3463,140160,8.4,2017,WV100JR
3464,142317,4.0,2017,WV44NT
3465,104387,5.7,2017,WV12BH
3466,140586,5.4,2017,WV38HU
3467,104390,5.0,2017,WV112QE
3468,104395,7.5,2017,WV45DG
3469,137730,4.2,2017,WV111RD
3470,104397,5.6,2017,WV108BY
3471,138852,3.3,2017,WV39DU
3472,139891,4.2,2017,WV39DU
3473,141802,4.4,2017,WV108BL
3474,131547,6.4,2017,WV68XG
3475,140798,4.0,2017,WV60BY
3476,139138,4.9,2017,WV81RT
3477,143101,3.2,2017,WV30EG
3478,135983,4.2,2017,WV140LN
3479,136182,8.3,2017,WV106SE
3480,142086,20.7,2017,WV60UB
3481,104412,5.9,2017,WV44NT
3537,140001,9.0,2017,L329PP
3538,140412,5.5,2017,L366DG
3539,139614,5.4,2017,L261UU
3540,142798,7.2,2017,L343NB
3541,135479,6.8,2017,L338XF
